,Name,Studio,Episodes,Genres,Source,Type,Score,Members,Season,Year
62,Dr. Slump: Arale-chan Specials,Toei Animation,2,"[Sci-Fi, Comedy, Shounen]",Manga,Special,6.53,283,Fall,1981
63,Bokura Mangaka: Tokiwasou Monogatari,Toei Animation,1,"[Comedy, Slice of Life]",-,Special,6.88513427562,151,Fall,1981
64,Chiisana Love Letter: Mariko to Nemunoki no Kodomo-tachi,-,1,"[Music, School, Drama]",-,Special,6.88513427562,107,Fall,1981
65,Toshishun,-,1,"[Adventure, Drama, Fantasy, Historical, Supernatural]",-,Special,6.88513427562,106,Fall,1981
66,Cat's Eye,Tokyo Movie Shinsha,73,"[Action, Adventure, Comedy, Mystery, Romance]",Manga,TV,7.2,"8,297",Summer,1983
67,Mahou no Tenshi Creamy Mami,Studio Pierrot,52,"[Comedy, Fantasy, Magic, Romance, School, Sci-Fi, Shoujo]",Original,TV,7.19,"5,639",Summer,1983
68,Choujikuu Seiki Orguss,Artland,35,"[Action, Adventure, Mecha, Romance, Sci-Fi, Shounen]",-,TV,6.75,"2,511",Summer,1983
69,Plawres Sanshirou,-,37,"[Adventure, Sports, Mecha, School, Sci-Fi, Shounen]",Manga,TV,7.65,"1,879",Summer,1983
70,Psychoarmor Govarian,-,26,"[Action, Mecha, Super Power, Sci-Fi]",Original,TV,6.63,397,Summer,1983
71,Aoi Umi to Shounen,-,1,[Slice of Life],-,OVA,6.88513427562,90,Summer,1983
72,Otsuki-sama to Oujo,Shin-Ei Animation,1,[Fantasy],-,OVA,6.88513427562,84,Summer,1983
73,Hadashi no Gen,Madhouse,1,"[Drama, Historical]",Manga,Movie,7.92,"18,405",Summer,1983
74,Patalliro! Stardust Keikaku,Toei Animation,1,"[Adventure, Comedy, Romance, Shoujo, Shounen Ai]",-,Movie,6.87,449,Summer,1983
75,Choro Q Dagram,Sunrise,1,"[Comedy, Mecha, Sci-Fi, Shounen]",-,Movie,5.54,446,Summer,1983
76,Super Teukgeup Mazinger 7,-,1,"[Sci-Fi, Mecha]",-,Movie,5.16,413,Summer,1983
